positions,Ariana Grande,144.015,8B
Rude,MAGIC!,144.033,3B
Whatcha Say,Jason Derulo,144.036,1B
Do I Make You Proud,Taylor Hicks,144.055,3B
My Life Would Suck Without You,Kelly Clarkson,144.982,11B
Slow Jamz (feat. Kanye West & Jamie Foxx),Twista,145.158,7A
A Moment Like This,Kelly Clarkson,145.184,4B
Panda,Desiigner,145.245,3A
Black Beatles,Rae Sremmurd,145.926,8B
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,146.078,10B
Lollipop,Lil Wayne,148.075,8B
Leave The Door Open,Bruno Mars,148.088,7B
Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,149.836,5A
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,149.995,2A
HUMBLE.,Kendrick Lamar,150.011,12A
Whatever You Like,T.I.,150.053,8A
All I Want for Christmas Is You,Mariah Carey,150.273,9B
E.T.,Katy Perry,151.684,3B
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,154.981,1A
SICKO MODE,Travis Scott,155.008,4B
Truth Hurts,Lizzo,158.087,9A
rockstar (feat. 21 Savage),Post Malone,159.824,4A
Live Your Life,T.I.,159.841,10A
"Happy - From ""Despicable Me 2""",Pharrell Williams,160.019,4A
Shake It Off,Taylor Swift,160.078,9B
Girlfriend,Avril Lavigne,163.983,9B
Black and Yellow,Wiz Khalifa,164.02,7A
It's Gonna Be Me,*NSYNC,165.071,5A
Jimmy Cooks (feat. 21 Savage),Drake,165.921,8B
Up,Cardi B,166,1B
Check On It (feat. Bun B & Slim Thug),Beyoncé,166.042,9B
good 4 u,Olivia Rodrigo,166.928,11B
Dilemma (feat. Kelly Rowland),Nelly,168.121,7A
Bad Habit,Steve Lacy,168.955,3B
Crack A Bottle,Eminem,169.561,11B
STAY (with Justin Bieber),The Kid LAROI,169.928,3B
Bad Blood,Taylor Swift,170.16,10A
Angel,Shaggy,170.531,2B
Blinding Lights,The Weeknd,171.005,3B
Lose Yourself,Eminem,171.381,10B
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,172.014,9B
How You Remind Me,Nickelback,172.094,6B
Slow Motion,JUVENILE,172.872,5A
Empire State Of Mind,JAY-Z,173.585,1B
Rude Boy,Rihanna,173.906,1B
As It Was,Harry Styles,173.93,11A
Umbrella,Rihanna,174.028,3B
Irreplaceable,Beyoncé,175.868,6A
Despacito,Luis Fonsi,177.928,10B
Stuck with U (with Justin Bieber),Ariana Grande,178.765,4B
MONTERO (Call Me By Your Name),Lil Nas X,178.818,1A
Roar,Katy Perry,179.984,6A
TROLLZ (with Nicki Minaj),6ix9ine,180.006,3B
Fireflies,Owl City,180.114,5B
We Are Young (feat. Janelle Monáe),fun.,184.086,6B
Starboy,The Weeknd,186.003,9B
Single Ladies (Put a Ring on It),Beyoncé,193.438,3B
Last Night,Morgan Wallen,203.853,2B
We Don't Talk About Bruno,Carolina Gaitán - La Gaita,205.863,5A
name,artist,bpm,key
